Club;Capacidad;Prioridad;Tamano_Ciudad;Compro_Plaza;Conferencia;Solvencia_Economica
Instituto Cultural y Deportivo Pedro Echagüe;3000;7;2936877;0;1;0
Oberá Tenis Club;2000;27;63960;0;0;1
San Nicolás Belgrano;3500;13;133602;0;1;0
Regatas San Nicolás;1500;2;133602;0;0;1
Obras Sanitarias;3100;4;2936877;1;1;1
Gimnasia y Esgrima;3000;7;643133;0;1;1
Unión;1700;9;20537;0;0;1
El Nacional;3950;11;291327;1;1;1
Echagüe;3000;13;247139;0;0;1
Estudiantes;3950;16;291327;0;1;1
Fusión Racing-Pedro Echagüe;1000;18;2936877;0;1;1
Olimpia;3150;20;75437;0;0;0
Independiente;1000;22;231198;0;1;1
Alma Juniors;1000;24;40125;0;0;1
Ferro Carril Oeste;4500;27;2936877;0;1;0
San Martín;1000;29;87509;0;1;1
Asociación Mitre;600;31;548866;0;0;1
